country,geo,year,construction_index_annual_avg_I21_NSA,months_available,yoy_pct
Austria,AT,2020,92.86,12,
Austria,AT,2021,100.01,12,7.70
Austria,AT,2022,101.29,12,1.28
Austria,AT,2023,100.61,12,-0.67
Austria,AT,2024,99.25,12,-1.35
Austria,AT,2025,96.47,12,-2.80
Belgium,BE,2020,95.53,12,
Belgium,BE,2021,99.99,12,4.68
Belgium,BE,2022,101.04,12,1.05
Belgium,BE,2023,101.00,12,-0.04
Belgium,BE,2024,99.86,12,-1.13
Belgium,BE,2025,99.97,12,0.12
Bulgaria,BG,2020,97.48,12,
Bulgaria,BG,2021,99.99,12,2.58
Bulgaria,BG,2022,100.48,12,0.49
Bulgaria,BG,2023,99.07,12,-1.40
Bulgaria,BG,2024,104.48,12,5.45
Bulgaria,BG,2025,109.12,12,4.45
Croatia,HR,2020,91.52,12,
Croatia,HR,2021,100.01,12,9.28
Croatia,HR,2022,103.99,12,3.98
Croatia,HR,2023,109.35,12,5.15
Croatia,HR,2024,124.89,12,14.21
Croatia,HR,2025,134.23,12,7.48
Cyprus,CY,2020,,0,
Cyprus,CY,2021,,0,
Cyprus,CY,2022,,0,
Cyprus,CY,2023,,0,
Cyprus,CY,2024,,0,
Cyprus,CY,2025,,0,
Czechia,CZ,2020,97.42,12,
Czechia,CZ,2021,100.01,12,2.66
Czechia,CZ,2022,103.19,12,3.18
Czechia,CZ,2023,100.40,12,-2.71
Czechia,CZ,2024,99.25,12,-1.15
Czechia,CZ,2025,108.27,12,9.08
Denmark,DK,2020,93.52,12,
Denmark,DK,2021,100.01,12,6.94
Denmark,DK,2022,104.98,12,4.97
Denmark,DK,2023,104.38,12,-0.57
Denmark,DK,2024,105.03,12,0.63
Denmark,DK,2025,107.32,12,2.17
Estonia,EE,2020,,0,
Estonia,EE,2021,,0,
Estonia,EE,2022,,0,
Estonia,EE,2023,,0,
Estonia,EE,2024,,0,
Estonia,EE,2025,,0,
Finland,FI,2020,96.45,12,
Finland,FI,2021,100.00,12,3.68
Finland,FI,2022,101.58,12,1.58
Finland,FI,2023,93.30,12,-8.15
Finland,FI,2024,91.82,12,-1.58
Finland,FI,2025,97.59,12,6.28
France,FR,2020,94.26,12,
France,FR,2021,100.02,12,6.11
France,FR,2022,96.03,12,-3.98
France,FR,2023,98.81,12,2.89
France,FR,2024,95.14,12,-3.71
France,FR,2025,91.61,12,-3.71
Germany,DE,2020,101.28,12,
Germany,DE,2021,99.97,12,-1.28
Germany,DE,2022,97.21,12,-2.77
Germany,DE,2023,95.56,12,-1.70
Germany,DE,2024,92.29,12,-3.42
Germany,DE,2025,90.45,12,-2.00
Greece,EL,2020,,0,
Greece,EL,2021,,0,
Greece,EL,2022,,0,
Greece,EL,2023,,0,
Greece,EL,2024,,0,
Greece,EL,2025,,0,
Hungary,HU,2020,89.42,12,
Hungary,HU,2021,99.99,12,11.83
Hungary,HU,2022,101.85,12,1.86
Hungary,HU,2023,96.48,12,-5.27
Hungary,HU,2024,95.33,12,-1.19
Hungary,HU,2025,97.96,12,2.75
Ireland,IE,2020,,0,
Ireland,IE,2021,,0,
